"word","helpful","unhelpful","EXTP","NEUT","EXTN"
"abruptly",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"absence",-11.3350778849997,-10.2364655963316,-11.3350778849997,-10.2364655963316,-10.2364655963316
"absolute",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"absolutely",-7.93388050333756,-7.93388050333756,-7.93388050333756,-7.93388050333756,-7.93388050333756
"absorb",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"absorbing",-11.3350778849997,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"abstract",-11.3350778849997,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"absurd",-9.72563997256562,-11.3350778849997,-11.3350778849997,-9.72563997256562,-9.72563997256562
"abt",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"abused",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"academy",-11.3350778849997,-8.93718261220135,-8.93718261220135,-8.93718261220135,-11.3350778849997
"academyaward",-11.3350778849997,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"accent",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"accept",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"acceptable",-9.94878352387983,-11.3350778849997,-11.3350778849997,-9.94878352387983,-11.3350778849997
"acceptance",-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997,-11.3350778849997
"accepted",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"accepts",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"accident",-8.62702768389751,-8.62702768389751,-8.62702768389751,-8.62702768389751,-8.62702768389751
"accidental",-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"accidentally",-10.2364655963316,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.2364655963316
"accidents",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"acclaimed",-11.3350778849997,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"acclamation",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"accolade",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"accolades",-11.3350778849997,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"accoladesoverall",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"accompanied",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"accompanies",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"accompaniment",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"accompanying",-10.2364655963316,-11.3350778849997,-10.2364655963316,-10.2364655963316,-11.3350778849997
"accomplish",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"accomplishmentanother",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"accord",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"according",-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562
"accordingly",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"account",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-10.2364655963316
"accountants",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"accuracy",-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983
"accurate",-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997,-11.3350778849997
"accurately",-11.3350778849997,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"accuse",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"accused",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"ace",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"achieve",-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983
"achieved",-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562
"achievements",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"achievementtheres",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"achieves",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"acknowledge",-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"acomingat",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"acquired",-11.3350778849997,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"across",-8.44470612710356,-8.44470612710356,-8.44470612710356,-8.44470612710356,-8.44470612710356
"act",-8.39063890583328,-8.39063890583328,-8.39063890583328,-8.39063890583328,-8.39063890583328
"acted",-8.62702768389751,-8.62702768389751,-8.62702768389751,-8.62702768389751,-8.62702768389751
"acting",-7.11557017982361,-7.11557017982361,-7.11557017982361,-7.11557017982361,-7.11557017982361
"actingthe",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"action",-7.57387776930616,-7.57387776930616,-7.57387776930616,-7.57387776930616,-7.57387776930616
"actioncomedy",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"actions",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"actionthe",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"activities",-11.3350778849997,-9.94878352387983,-9.94878352387983,-11.3350778849997,-11.3350778849997
"activity",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-10.2364655963316
"actor",-7.30972619426457,-7.30972619426457,-7.30972619426457,-7.30972619426457,-7.30972619426457
"actorfranco",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"actoris",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"actors",-7.7241599723555,-7.7241599723555,-7.7241599723555,-7.7241599723555,-7.7241599723555
"actorsand",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"actorswoody",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"actress",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"acts",-9.72563997256562,-9.72563997256562,-11.3350778849997,-9.72563997256562,-9.72563997256562
"actual",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"actually",-6.94062873032728,-6.94062873032728,-6.94062873032728,-6.94062873032728,-6.94062873032728
"actyually",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"acute",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"adam",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"adaptable",-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adaptation",-11.3350778849997,-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997
"adapts",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"add",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"added",-9.1378533076635,-9.1378533076635,-9.1378533076635,-9.1378533076635,-9.1378533076635
"addicting",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"addiction",-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adding",-9.54331841577167,-9.54331841577167,-9.54331841577167,-9.54331841577167,-11.3350778849997
"addition",-9.54331841577167,-9.54331841577167,-9.54331841577167,-9.54331841577167,-11.3350778849997
"additional",-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997
"address",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"addressing",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adds",-8.69602055538446,-8.69602055538446,-8.69602055538446,-8.69602055538446,-11.3350778849997
"adept",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adeptly",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"adeptness",-11.3350778849997,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"adequate",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"adjacent",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"administrative",-10.2364655963316,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"admirable",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"admire",-9.94878352387983,-9.94878352387983,-11.3350778849997,-9.94878352387983,-9.94878352387983
"admirei",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"admit",-8.93718261220135,-8.93718261220135,-8.93718261220135,-8.93718261220135,-11.3350778849997
"admits",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"admitted",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"admittedly",-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562,-11.3350778849997
"adolescence",-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398
"adolescent",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"adolescentcrushloveisblind",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adorable",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988
"adore",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adrenaline",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"adrian",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"adult",-11.3350778849997,-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997
"adults",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"advance",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-10.2364655963316
"advanced",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adventure",-8.56248916275994,-8.56248916275994,-8.56248916275994,-8.56248916275994,-8.56248916275994
"adventureland",-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"adventurer",-11.3350778849997,-9.72563997256562,-9.72563997256562,-9.72563997256562,-11.3350778849997
"adventures",-11.3350778849997,-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997
"adventuristic",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"adventurous",-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562,-11.3350778849997
"adverse",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"advice",-8.69602055538446,-8.69602055538446,-8.69602055538446,-8.69602055538446,-8.69602055538446
"adviceoverall",-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"advised",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"advises",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"advocate",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"aerial",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aeron",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aesthetic",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aesthetics",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"affair",-8.93718261220135,-8.93718261220135,-8.93718261220135,-8.93718261220135,-8.93718261220135
"affairs",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"affect",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"affected",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"affecting",-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"affections",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"affects",-9.94878352387983,-9.94878352387983,-9.94878352387983,-9.94878352387983,-11.3350778849997
"affinity",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"affirming",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aforementioned",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"afraid",-9.54331841577167,-9.54331841577167,-9.54331841577167,-9.54331841577167,-9.54331841577167
"africanamerican",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"africanamericans",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-11.3350778849997
"after",-6.21708407258297,-6.21708407258297,-6.21708407258297,-6.21708407258297,-6.21708407258297
"afternoon",-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398
"aftersex",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aftertaste",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"afterthought",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"afterwards",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"aftwerwordseven",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"again",-7.50643648851063,-7.50643648851063,-7.50643648851063,-7.50643648851063,-7.50643648851063
"againand",-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398
"againas",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"againbut",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"againif",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"againone",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"against",-8.2905554472763,-8.2905554472763,-8.2905554472763,-8.2905554472763,-8.2905554472763
"age",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"ages",-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316
"aggravating",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aghast",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"ago",-8.85017123521172,-8.85017123521172,-8.85017123521172,-8.85017123521172,-8.85017123521172
"agonizes",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"agonizing",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"agony",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"agree",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"agrees",-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"ahab",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"ahead",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"ahem",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"ahh",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"ahhhh",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"ahmanson",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"ahole",-9.94878352387983,-9.94878352387983,-11.3350778849997,-11.3350778849997,-9.94878352387983
"aid",-10.2364655963316,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"aim",-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997,-10.2364655963316
"aims",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aint",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"air",-8.77012852753818,-8.77012852753818,-8.77012852753818,-8.77012852753818,-8.77012852753818
"aircraft",-9.1378533076635,-11.3350778849997,-11.3350778849997,-9.1378533076635,-9.1378533076635
"aired",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"airlift",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"airplane",-10.2364655963316,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.2364655963316
"airport",-9.38916773594441,-9.38916773594441,-9.38916773594441,-11.3350778849997,-9.38916773594441
"aka",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"alarm",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alas",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alasits",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"albeit",-11.3350778849997,-9.72563997256562,-9.72563997256562,-11.3350778849997,-9.72563997256562
"alcohol",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"alert",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"alfie",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"alhaiglike",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alien",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"alienates",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aliens",-10.2364655963316,-11.3350778849997,-11.3350778849997,-10.2364655963316,-10.2364655963316
"aligned",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alike",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"alist",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"alive",-8.69602055538446,-8.69602055538446,-8.69602055538446,-8.69602055538446,-8.69602055538446
"alivefinally",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"all",-5.30921191117441,-5.30921191117441,-5.30921191117441,-5.30921191117441,-5.30921191117441
"allen",-11.3350778849997,-9.38916773594441,-9.38916773594441,-9.38916773594441,-11.3350778849997
"allens",-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"alli",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"allinsteadi",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"allout",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"allow",-9.1378533076635,-9.1378533076635,-9.1378533076635,-9.1378533076635,-9.1378533076635
"allowed",-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562,-9.72563997256562
"allowing",-11.3350778849997,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"allows",-9.25563634331988,-9.25563634331988,-9.25563634331988,-9.25563634331988,-11.3350778849997
"allthat",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"allthis",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"allusions",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"almighty",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"almost",-7.34609383843545,-7.34609383843545,-7.34609383843545,-7.34609383843545,-7.34609383843545
"alone",-8.03924101899539,-8.03924101899539,-8.03924101899539,-8.03924101899539,-8.03924101899539
"aloneand",-11.3350778849997,-10.2364655963316,-11.3350778849997,-10.2364655963316,-11.3350778849997
"alonepackaged",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"along",-7.86934198219999,-7.86934198219999,-7.86934198219999,-7.86934198219999,-7.86934198219999
"alongside",-11.3350778849997,-9.94878352387983,-9.94878352387983,-11.3350778849997,-11.3350778849997
"alongthere",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aloof",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aloofness",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"aloud",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"already",-7.75155894654361,-7.75155894654361,-7.75155894654361,-7.75155894654361,-7.75155894654361
"alright",-9.94878352387983,-9.94878352387983,-11.3350778849997,-9.94878352387983,-9.94878352387983
"also",-6.32444259090346,-6.32444259090346,-6.32444259090346,-6.32444259090346,-6.32444259090346
"alsothe",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"alt",-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"alter",-10.2364655963316,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"alternate",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alternative",-9.54331841577167,-9.54331841577167,-11.3350778849997,-9.54331841577167,-9.54331841577167
"alternatives",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"although",-7.93388050333756,-7.93388050333756,-7.93388050333756,-7.93388050333756,-7.93388050333756
"altogether",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"altruism",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"altruistic",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"alumni",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"always",-7.24073332277762,-7.24073332277762,-7.24073332277762,-7.24073332277762,-7.24073332277762
"amanda",-9.38916773594441,-11.3350778849997,-11.3350778849997,-9.38916773594441,-9.38916773594441
"amaze",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"amazed",-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997,-11.3350778849997
"amazes",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"amazing",-7.59740826671635,-7.59740826671635,-7.59740826671635,-7.59740826671635,-7.59740826671635
"amazingan",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"amazingly",-9.72563997256562,-11.3350778849997,-9.72563997256562,-9.72563997256562,-9.72563997256562
"amazingmost",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"amazingthe",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"amber",-11.3350778849997,-9.25563634331988,-9.25563634331988,-9.25563634331988,-11.3350778849997
"ambiance",-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997,-11.3350778849997
"ambient",-11.3350778849997,-10.6419307044398,-11.3350778849997,-10.6419307044398,-11.3350778849997
"ambiguities",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"ambitionless",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
